Scanning 11 equip archives...
Processing S3D:  gequip.s3d Skip Images:  true
[PFS] Directory count: 854 at offset 2455341
  [0] Entry: CRC=0x1875e4, Offset=2349608, Size=5176
  [1] Entry: CRC=0x580281, Offset=344312, Size=3126
  [2] Entry: CRC=0x1118e7f, Offset=286240, Size=1492
  [3] Entry: CRC=0x115a6fa, Offset=1943016, Size=3128
  [4] Entry: CRC=0x21d6c7f, Offset=745282, Size=4332
  [5] Entry: CRC=0x26ba6cf, Offset=2285957, Size=1252
  [6] Entry: CRC=0x30bf99b, Offset=189295, Size=5174
  [7] Entry: CRC=0x31f97b1, Offset=862555, Size=5174
  [8] Entry: CRC=0x34c9fa5, Offset=748091, Size=5174
  [9] Entry: CRC=0x3597bbf, Offset=1746671, Size=9272
  [10] Entry: CRC=0x397fe21, Offset=2261893, Size=5174
  [11] Entry: CRC=0x3e7396a, Offset=2427124, Size=2104
  [12] Entry: CRC=0x44adfe9, Offset=642350, Size=5174
  [13] Entry: CRC=0x46da5a8, Offset=37176, Size=3128
  [14] Entry: CRC=0x492c998, Offset=2329436, Size=9272
  [15] Entry: CRC=0x51b2c33, Offset=604667, Size=5174
  [16] Entry: CRC=0x5a7d14d, Offset=2385160, Size=4820
  [17] Entry: CRC=0x6ca20b4, Offset=558243, Size=2102
  [18] Entry: CRC=0x6cbc042, Offset=1470489, Size=33844
  [19] Entry: CRC=0x7519b92, Offset=2118935, Size=2104
  [20] Entry: CRC=0x7776b9b, Offset=2289159, Size=2104
  [21] Entry: CRC=0x78528d7, Offset=1311858, Size=8856
  [22] Entry: CRC=0x7ba7ee7, Offset=1332920, Size=992
  [23] Entry: CRC=0x85e1c55, Offset=270242, Size=5056
  [24] Entry: CRC=0x9456d21, Offset=216058, Size=5176
  [25] Entry: CRC=0xa27756d, Offset=791368, Size=5174
  [26] Entry: CRC=0xac59590, Offset=615070, Size=5174
  [27] Entry: CRC=0xb1ef6a1, Offset=547781, Size=3126
  [28] Entry: CRC=0xb7686b7, Offset=793111, Size=5174
  [29] Entry: CRC=0xb94664a, Offset=601097, Size=5174
  [30] Entry: CRC=0xbd05792, Offset=534518, Size=1512
  [31] Entry: CRC=0xcc12e12, Offset=845228, Size=5174
  [32] Entry: CRC=0xd90ddc8, Offset=857651, Size=5174
  [33] Entry: CRC=0xddb71db, Offset=341309, Size=3126
  [34] Entry: CRC=0xe1db62d, Offset=2345625, Size=2104
  [35] Entry: CRC=0xe2095e3, Offset=1972536, Size=9272
  [36] Entry: CRC=0xf8264a5, Offset=2282426, Size=2104
  [37] Entry: CRC=0x101ea15c, Offset=2379560, Size=1334
  [38] Entry: CRC=0x102a149f, Offset=1708205, Size=1144
  [39] Entry: CRC=0x105e8bcf, Offset=792259, Size=5174
  [40] Entry: CRC=0x1096acfa, Offset=1334330, Size=1224
  [41] Entry: CRC=0x10bc6b32, Offset=602469, Size=5174
  [42] Entry: CRC=0x10f85aea, Offset=535124, Size=1788
  [43] Entry: CRC=0x11094e83, Offset=281722, Size=596
  [44] Entry: CRC=0x110f7815, Offset=790333, Size=5174
  [45] Entry: CRC=0x11ed98e8, Offset=616316, Size=5174
  [46] Entry: CRC=0x12027563, Offset=1805863, Size=1312
  [47] Entry: CRC=0x12097f24, Offset=2120580, Size=1732
  [48] Entry: CRC=0x121751a8, Offset=2121922, Size=2104
  [49] Entry: CRC=0x126c3ef0, Offset=2284010, Size=2104
  [50] Entry: CRC=0x12cc18cd, Offset=320756, Size=17464
  [51] Entry: CRC=0x12cf4e73, Offset=671959, Size=5174
  [52] Entry: CRC=0x132b49f4, Offset=1806910, Size=2104
